package,connections
matplotlib,"['editors-json-tests', 'PYTHON', 'Principles-of-Programming-Python-3', 'GCA', 'mechnets', 'mySoftwares', 'IntroToMachineLearningNYU', 'flask_old', 'python-practice', 'chi-o-metrics', 'RoboND-rover', 'learngit', 'TestParaView', 'Ravens-Progressive-Matrices-AI', 'python', 'load-shed', 'MachineKitOpenCNC', 'Differential-Gene-Expression-', 'python-01', 'paraview-superbuild', 'msc', 'machinelearingPython', 'tools', 'ParaViewSuperbuild', 'KNN', 'PySpace', 'stellar_interiors', 'MyPythonNotes', 'python_study']"
plotly,"['THESIS_NU_2017', 'thesis_2018', '-Soplo-y-Soplo....-pero-su-Tp-aguanto-', 'THESIS_NU', 'thesis_2018_1', 'backtrader_plotting', 'seamless', 'ssid-mobile-server', 'Final_Project', 'Bioinf_utils', 'Plotly', 'thesis', 'pcornet', 'Capstone-Project', 'social-network', 'Third-Assignment_Numerical-Simulation', 'third-assignment', 'plotlyhtmlexporter', 'Votified', 'sandbox', 'Power_Network_Australia', 'Plotly-with-Python-Introduction-Workshop', 'sihomework', 'RecSys', 'StackOverflowRecomender', 'Sentiment-Analysis', 'casestudy', 'Improving-Prediction-Rate-with-Collaborative-Neighborhood-Recommendation-System-']"
jupyter,"['PythonFromScratch', 'Inno2', 'py_spider', 'Networks', 'jupyter_container', 'ac0n3', 'fabric-jupyter', 'jupyter_eda', 'jupyter-plotly-dash', 'jupyter-parser', 'pants', 'LearningPython', 'applicationinsights_jupyter', 'DataScienceWorkshop', 'jupyter_notebook_importer', 'jupyter-viewer-xblock', 'finance', 'hpctools', 'pyUSID', 'schemaindex', 'rpython1', 'mygluon']"
scrapy,"['spiders', 'ClassExercises', 'Backup_python_learning', 'LearnPython', 'PythonLearn', 'data-analysis', 'IMAi', 'Recommendation', 'pythonwork', 'Propulsion', 'fury-train', 'mypython', 'Xero', 'TCC', 'irhw2', 'markov_chain', 'OE7', '79data-code', 'Giveaway', 'fengzhonglang', 'python-web-crawlers', 'text', 'tutorial', 'GrowProject', 'Learn4xy', 'python', 'python-3-essentials', 'scarpy', 'six-demon-bag']"
pathos,"['multi_rsync', 'Diploma', 'EDM', 'PetFeeder', 'Scipy2015Summary', 'ShanghaiShenzhenStock', 'cognitive_finance_public', 'MicroExpressionDetector', 'Rustichini2015', '184final', 'machine-learning-stats', 'snap-eligibility-estimate', 'hera_sandbox', 'Projects', 'dino', 'InstructJupyter', 'hkx_tf_practice', 'quants', 'icedChainsaw', 'MagicPi-Project', 'machine-learning', 'KagglePlanetPytorch', 'RetinaProject', 'momentum', 'alfresco_postprocessing']"
basemap,"['my-isc-work', 'DataScienceFP', 'lab', 'Farchie', 'scraperwiki-scraper-vault', 'Data_visualization', 'Kompas-Detik', 'RPN', 'basemap-feedstock', 'vieps_mapping', 'my-blog', 'TorinoCourse', 'something_I_should_remember', 'python-practice', 'data-science', 'Matplotlib-in-Python-Guide', 'python-bandwidth-iris']"
cartopy,"['conda-recipes', 'cartopy-feedstock', 'lrnpython', 'conda-recipes-pyoceans', 'conda-recipes-scitools', 'mpl_mapping_trial', 'Training_Base', 'mplotutils', 'whenwhere', 'VitBer', 'desktop_python_scripts', 'DEV', 'learnP', 'Scratch', 'notes-python', 'scitools.org.uk']"
bagit,"['bagit-ro', 'bagit-utils', 'o2r-bagtainers', 'bagit-profiles-validator', 'o2r-shipper', 'forensics_at_accession_scrips', 'trusty', 'bagit-python', 'bagit-rk', 'dpres-ipt', 'pybagit', 'eresource-tools', 'datapreservation', 'bagit', 'ouroboros', 'curationscripts', 'pkppln', 'bulk_bagger', 'opensrf101', 'bag_validate']"
xlrd,"['Python', 'py-justpy', 'ecg', 'gtaa_n7k', 'golibdoc', 'KFF_interface', 'LR_model', 'Test', '2017Projects', 'cocostools', 'Github', 'awarenesssystem', 'mydata', 'pys15-train', 'RBFnetfit', 'spider', 'pythoncode', 'test', 'UdaCityLearning', 'RandExcel', 'PythonAdv1', 'pythonStudy', 'hello-world', 'PythPars', 'jiandan', 'MSRCSWork', 'Dynamic-Dashboard-2015']"
iris,"['python-iris', 'tensorflow_test', 'FridAI', 'iris', 'Iris', 'desktop_python_scripts', 'deep-learning', 'iris-backend', 'iris-ncats', 'skdata', 'iris-agent', 'macbook_pythion_scipts', 'simple-modeling-experiment', 'test-deploy', 'ml_exp', 'mlprodict', 'revolio', 'microsoft-hack', 'CaloriaModel', 'theaV2', 'tubesml', 'SuperSlackBot']"
